2018-08-14 02:18:04.813        --- [          Thread-105] Validating input.
2018-08-14 02:18:04.813        --- [           Thread-74] Starting user insert thread with name = Thread-110
2018-08-14 02:18:04.814        --- [          Thread-107] Validating input.
2018-08-14 02:18:04.814        --- [          Thread-104] Inserted new user with id=5b72741c3af6b069b215a5ad
2018-08-14 02:18:04.814        --- [           Thread-74] Starting user insert thread with name = Thread-111
2018-08-14 02:18:04.815        --- [           Thread-96] Inserted new user with id=5b72741c3af6b069b215a5ac
2018-08-14 02:18:04.815        --- [           Thread-74] Starting user insert thread with name = Thread-112
2018-08-14 02:18:04.816        --- [          Thread-111] Validating input.
2018-08-14 02:18:04.816        --- [          Thread-102] Inserted new user with id=5b72741c3af6b069b215a5ab
2018-08-14 02:18:04.816        --- [          Thread-103] Validating input.
2018-08-14 02:18:04.817        --- [           Thread-30] Starting user insert thread with name = Thread-109
2018-08-14 02:18:04.817        --- [           Thread-99] Inserted new user with id=5b72741c3af6b069b215a5a8
2018-08-14 02:18:04.817        --- [           Thread-30] Starting user insert thread with name = Thread-114
2018-08-14 02:18:04.817        --- [           Thread-74] Starting user insert thread with name = Thread-113
2018-08-14 02:18:04.844        --- [          Thread-112] Validating input.
2018-08-14 02:18:04.845        --- [           Thread-95] Inserted new user with id=5b72741c3af6b069b215a5a9
2018-08-14 02:18:04.845        --- [          Thread-105] Inserted new user with id=5b72741c3af6b069b215a5af
2018-08-14 02:18:04.846        --- [          Thread-110] Validating input.
2018-08-14 02:18:04.846        --- [           Thread-29] Starting user insert thread with name = Thread-108
2018-08-14 02:18:04.846        --- [          Thread-107] Inserted new user with id=5b72741c3af6b069b215a5b0
2018-08-14 02:18:04.847        --- [          Thread-101] Inserted new user with id=5b72741c3af6b069b215a5aa
2018-08-14 02:18:04.847        --- [           Thread-97] Starting user insert thread with name = Thread-100
2018-08-14 02:18:04.848        --- [          Thread-106] Inserted new user with id=5b72741c3af6b069b215a5ae
2018-08-14 02:18:04.848        --- [          Thread-110] Inserted new user with id=5b72741c3af6b069b215a5b4
2018-08-14 02:18:04.848        --- [          Thread-100] Validating input.
2018-08-14 02:18:04.848        --- [          Thread-112] Inserted new user with id=5b72741c3af6b069b215a5b3
2018-08-14 02:18:04.849        --- [          Thread-108] Validating input.
2018-08-14 02:18:04.849        --- [           Thread-29] Starting user insert thread with name = Thread-117
2018-08-14 02:18:04.849        --- [          Thread-113] Validating input.
2018-08-14 02:18:04.850        --- [           Thread-74] Starting user insert thread with name = Thread-116
2018-08-14 02:18:04.852        --- [          Thread-100] Inserted new user with id=5b72741c3af6b069b215a5b5
2018-08-14 02:18:04.852        --- [          Thread-113] Inserted new user with id=5b72741c3af6b069b215a5b7
2018-08-14 02:18:04.852        --- [          Thread-103] Inserted new user with id=5b72741c3af6b069b215a5b2
2018-08-14 02:18:04.853        --- [          Thread-114] Validating input.
2018-08-14 02:18:04.853        --- [           Thread-30] Starting user insert thread with name = Thread-115
2018-08-14 02:18:04.853        --- [          Thread-111] Inserted new user with id=5b72741c3af6b069b215a5b1
2018-08-14 02:18:04.853        --- [           Thread-30] Starting user insert thread with name = Thread-121
2018-08-14 02:18:04.853        --- [          Thread-109] Validating input.
2018-08-14 02:18:04.854        --- [          Thread-121] Validating input.
2018-08-14 02:18:04.854        --- [           Thread-30] Starting user insert thread with name = Thread-122
2018-08-14 02:18:04.854        --- [          Thread-115] Validating input.
2018-08-14 02:18:04.854        --- [           Thread-30] Starting user insert thread with name = Thread-123
2018-08-14 02:18:04.855        --- [          Thread-116] Validating input.
2018-08-14 02:18:04.855        --- [          Thread-109] Inserted new user with id=5b72741c3af6b069b215a5b9
2018-08-14 02:18:04.855        --- [          Thread-121] Inserted new user with id=5b72741c3af6b069b215a5ba
2018-08-14 02:18:04.856        --- [           Thread-30] Starting user insert thread with name = Thread-124
2018-08-14 02:18:04.856        --- [          Thread-108] Inserted new user with id=5b72741c3af6b069b215a5b6
2018-08-14 02:18:04.856        --- [           Thread-74] Starting user insert thread with name = Thread-120
2018-08-14 02:18:04.856        --- [          Thread-117] Validating input.
2018-08-14 02:18:04.856        --- [           Thread-29] Starting user insert thread with name = Thread-119
2018-08-14 02:18:04.857        --- [           Thread-97] Starting user insert thread with name = Thread-118
2018-08-14 02:18:04.857        --- [          Thread-119] Validating input.
2018-08-14 02:18:04.857        --- [           Thread-29] Starting user insert thread with name = Thread-127
2018-08-14 02:18:04.857        --- [          Thread-120] Validating input.
2018-08-14 02:18:04.858        --- [          Thread-117] Inserted new user with id=5b72741c3af6b069b215a5bd
